Organism	AF3 mean PAE diff.	AF3 pTM diff.	AF3 plDDT median diff.	AF3 total plDDT over 80 diff.	Foldseek bitscore diff.	Foldseek LDDT diff.	Foldseek alntmscore diff.	Foldseek log10(evalue)*-10 diff.	IPR domain total length diff.	IPR domain max. length diff.	Sum of all	Sum of AF3+Foldseek+IPR	Sum of AF3+Foldseek	Sum of AF3+IPR
Aspergillus fumigatus str. Af293	1.0	1.0	1.0	1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Aspergillus fumigatus str. Af293	-1.0	1.0	1.0	1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Aspergillus fumigatus str. Af293	1.0	1.0	1.0	1	1.0	1.0	-1.0	1.0	-1.0	-1.0	1.0	1.0	1.0	1.0
Aspergillus fumigatus str. Af293	1.0	1.0	1.0	1	1.0	1.0	1.0	-1.0	1.0	1.0	1.0	1.0	1.0	1.0
Aspergillus fumigatus str. Af293	1.0	1.0	1.0	1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Aspergillus fumigatus str. Af293	1.0	1.0	1.0	1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Aspergillus fumigatus str. Af293	1.0	1.0	1.0	1	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0
Aspergillus fumigatus str. Af293	-1.0	-1.0	-1.0	1	0.0	0.0	0.0	0.0	1.0	1.0	-1.0	1.0	1.0	1.0
Aspergillus fumigatus str. Af293	1.0	1.0	1.0	1	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0
Aspergillus fumigatus str. Af293	1.0	1.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0
Aspergillus fumigatus str. Af293	1.0	1.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0
Aspergillus fumigatus str. Af293	1.0	1.0	1.0	-1	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	-1.0	1.0
Aspergillus fumigatus str. Af293	1.0	1.0	1.0	1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Aspergillus fumigatus str. Af293	1.0	1.0	1.0	1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Aspergillus fumigatus str. Af293	1.0	1.0	1.0	-1	0.0	0.0	0.0	0.0	1.0	1.0	1.0	-1.0	-1.0	-1.0
Aspergillus fumigatus str. Af293	1.0	1.0	1.0	1	1.0	1.0	-1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Aspergillus fumigatus str. Af293	1.0	1.0	1.0	1	1.0	-1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Aspergillus fumigatus str. Af293	1.0	1.0	1.0	1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Aspergillus fumigatus str. Af293	1.0	1.0	1.0	1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Aspergillus fumigatus str. Af293	1.0	1.0	1.0	1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Aspergillus fumigatus str. Af293	1.0	1.0	1.0	1	-1.0	-1.0	-1.0	1.0	1.0	1.0	-1.0	1.0	1.0	1.0
Aspergillus fumigatus str. Af293	1.0	1.0	-1.0	-1	0.0	0.0	0.0	0.0	0.0	0.0	1.0	-1.0	-1.0	-1.0
Aspergillus fumigatus str. Af293	1.0	1.0	1.0	1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Aspergillus fumigatus str. Af293	-1.0	-1.0	-1.0	1	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	1.0	1.0	1.0
Toxoplasma gondii str. ME49	1.0	1.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0
Toxoplasma gondii str. ME49	1.0	1.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0
Toxoplasma gondii str. ME49	-1.0	0.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0
Toxoplasma gondii str. ME49	1.0	0.0	1.0	1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Toxoplasma gondii str. ME49	1.0	1.0	1.0	-1	0.0	0.0	0.0	0.0	0.0	0.0	1.0	-1.0	-1.0	-1.0
Toxoplasma gondii str. ME49	-1.0	-1.0	-1.0	-1	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	-1.0	-1.0	-1.0
Toxoplasma gondii str. ME49	1.0	1.0	1.0	-1	-1.0	-1.0	1.0	-1.0	-1.0	0.0	1.0	-1.0	-1.0	-1.0
Toxoplasma gondii str. ME49	-1.0	-1.0	-1.0	-1	1.0	1.0	1.0	1.0	1.0	-1.0	-1.0	1.0	-1.0	1.0
Toxoplasma gondii str. ME49	1.0	1.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0
Toxoplasma gondii str. ME49	1.0	1.0	1.0	1	-1.0	-1.0	-1.0	-1.0	0.0	0.0	1.0	-1.0	-1.0	1.0
Toxoplasma gondii str. ME49	1.0	1.0	1.0	-1	-1.0	-1.0	-1.0	1.0	0.0	0.0	1.0	-1.0	-1.0	-1.0
Toxoplasma gondii str. ME49	1.0	1.0	1.0	-1	-1.0	-1.0	-1.0	1.0	0.0	0.0	1.0	-1.0	-1.0	-1.0
Toxoplasma gondii str. ME49	1.0	1.0	1.0	-1	-1.0	-1.0	-1.0	1.0	0.0	0.0	1.0	-1.0	-1.0	-1.0
Toxoplasma gondii str. ME49	1.0	1.0	1.0	-1	-1.0	-1.0	-1.0	1.0	0.0	0.0	1.0	-1.0	-1.0	-1.0
Toxoplasma gondii str. ME49	1.0	1.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0
Toxoplasma gondii str. ME49	-1.0	-1.0	-1.0	-1	1.0	1.0	-1.0	1.0	1.0	-1.0	-1.0	1.0	-1.0	1.0
Toxoplasma gondii str. ME49	-1.0	-1.0	1.0	1	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0
Toxoplasma gondii str. ME49	1.0	-1.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Toxoplasma gondii str. ME49	1.0	1.0	1.0	1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Toxoplasma gondii str. ME49	-1.0	-1.0	1.0	1	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0
Toxoplasma gondii str. ME49	1.0	1.0	1.0	1	1.0	1.0	1.0	1.0	1.0	-1.0	1.0	1.0	1.0	1.0
Toxoplasma gondii str. ME49	-1.0	-1.0	-1.0	-1	-1.0	-1.0	-1.0	-1.0	1.0	1.0	1.0	1.0	-1.0	1.0
Toxoplasma gondii str. ME49	1.0	1.0	1.0	1	-1.0	-1.0	-1.0	-1.0	1.0	1.0	1.0	-1.0	-1.0	1.0
Toxoplasma gondii str. ME49	-1.0	-1.0	-1.0	1	1.0	1.0	1.0	1.0	0.0	0.0	-1.0	1.0	1.0	1.0
Toxoplasma gondii str. ME49	-1.0	1.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	1.0	1.0	1.0
Toxoplasma gondii str. ME49	-1.0	-1.0	-1.0	1	1.0	-1.0	-1.0	1.0	-1.0	0.0	-1.0	1.0	1.0	1.0
Toxoplasma gondii str. ME49	-1.0	-1.0	-1.0	1	1.0	-1.0	-1.0	1.0	1.0	1.0	-1.0	1.0	1.0	1.0
Toxoplasma gondii str. ME49	-1.0	-1.0	-1.0	1	1.0	-1.0	1.0	1.0	-1.0	-1.0	-1.0	1.0	1.0	1.0
Toxoplasma gondii str. ME49	1.0	-1.0	1.0	1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Toxoplasma gondii str. ME49	-1.0	-1.0	-1.0	-1	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	-1.0	-1.0	-1.0
Toxoplasma gondii str. ME49	1.0	1.0	1.0	1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Toxoplasma gondii str. ME49	1.0	1.0	-1.0	1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Toxoplasma gondii str. ME49	1.0	1.0	1.0	0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0
Toxoplasma gondii str. ME49	-1.0	0.0	-1.0	0	1.0	-1.0	-1.0	1.0	0.0	0.0	-1.0	1.0	1.0	0.0
Toxoplasma gondii str. ME49	1.0	1.0	1.0	1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Toxoplasma gondii str. ME49	-1.0	1.0	-1.0	1	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	1.0	1.0	1.0
Toxoplasma gondii str. ME49	1.0	1.0	1.0	1	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0
Toxoplasma gondii str. ME49	1.0	1.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0
Toxoplasma gondii str. ME49	1.0	1.0	1.0	-1	-1.0	-1.0	-1.0	-1.0	0.0	0.0	1.0	-1.0	-1.0	-1.0
Toxoplasma gondii str. ME49	-1.0	-1.0	-1.0	1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Toxoplasma gondii str. ME49	1.0	1.0	1.0	1	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0
Toxoplasma gondii str. ME49	1.0	1.0	1.0	-1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	-1.0
Toxoplasma gondii str. ME49	-1.0	1.0	-1.0	-1	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
Toxoplasma gondii str. ME49	-1.0	-1.0	-1.0	0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0
Toxoplasma gondii str. ME49	-1.0	-1.0	-1.0	1	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	1.0	1.0	1.0
Toxoplasma gondii str. ME49	-1.0	-1.0	-1.0	1	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	1.0	1.0	1.0
Toxoplasma gondii str. ME49	-1.0	-1.0	-1.0	0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0
Toxoplasma gondii str. ME49	1.0	1.0	1.0	1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Toxoplasma gondii str. ME49	1.0	1.0	1.0	1	1.0	-1.0	1.0	-1.0	1.0	0.0	1.0	1.0	1.0	1.0
Toxoplasma gondii str. ME49	-1.0	-1.0	-1.0	1	1.0	-1.0	-1.0	1.0	1.0	1.0	-1.0	1.0	1.0	1.0
Toxoplasma gondii str. ME49	-1.0	-1.0	-1.0	1	-1.0	-1.0	-1.0	-1.0	0.0	0.0	-1.0	1.0	1.0	1.0
Toxoplasma gondii str. ME49	-1.0	-1.0	-1.0	1	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	1.0	1.0	1.0
Toxoplasma gondii str. ME49	1.0	1.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Toxoplasma gondii str. ME49	1.0	1.0	1.0	1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Toxoplasma gondii str. ME49	1.0	1.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0
Toxoplasma gondii str. ME49	-1.0	1.0	-1.0	1	1.0	1.0	1.0	1.0	1.0	-1.0	1.0	1.0	1.0	1.0
Toxoplasma gondii str. ME49	1.0	1.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0
Toxoplasma gondii str. ME49	-1.0	-1.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0
Toxoplasma gondii str. ME49	1.0	1.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Toxoplasma gondii str. ME49	1.0	1.0	1.0	0	-1.0	-1.0	-1.0	-1.0	0.0	0.0	1.0	-1.0	-1.0	0.0
Toxoplasma gondii str. ME49	-1.0	-1.0	-1.0	0	1.0	1.0	-1.0	1.0	1.0	1.0	-1.0	1.0	1.0	1.0
Toxoplasma gondii str. ME49	1.0	1.0	1.0	-1	-1.0	-1.0	-1.0	-1.0	0.0	0.0	1.0	-1.0	-1.0	-1.0
Toxoplasma gondii str. ME49	1.0	1.0	1.0	1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Toxoplasma gondii str. ME49	-1.0	1.0	-1.0	1	0.0	0.0	0.0	0.0	1.0	1.0	-1.0	1.0	1.0	1.0
Toxoplasma gondii str. ME49	1.0	1.0	-1.0	1	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0
Toxoplasma gondii str. ME49	1.0	1.0	1.0	1	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	1.0	-1.0	-1.0	-1.0
Toxoplasma gondii str. ME49	-1.0	-1.0	-1.0	1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Toxoplasma gondii str. ME49	1.0	1.0	1.0	-1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	-1.0	-1.0
Toxoplasma gondii str. ME49	1.0	1.0	1.0	1	-1.0	1.0	-1.0	1.0	-1.0	0.0	1.0	-1.0	-1.0	1.0
Toxoplasma gondii str. ME49	1.0	1.0	1.0	1	-1.0	-1.0	-1.0	1.0	-1.0	0.0	1.0	1.0	1.0	1.0
Toxoplasma gondii str. ME49	-1.0	-1.0	-1.0	1	1.0	1.0	1.0	1.0	0.0	0.0	-1.0	1.0	1.0	1.0
Toxoplasma gondii str. ME49	-1.0	1.0	-1.0	1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Toxoplasma gondii str. ME49	1.0	1.0	1.0	-1	1.0	1.0	1.0	-1.0	-1.0	-1.0	1.0	-1.0	-1.0	-1.0
Toxoplasma gondii str. ME49	-1.0	-1.0	-1.0	1	-1.0	-1.0	-1.0	1.0	0.0	0.0	-1.0	1.0	1.0	1.0
Toxoplasma gondii str. ME49	-1.0	-1.0	-1.0	-1	-1.0	1.0	-1.0	-1.0	0.0	0.0	-1.0	-1.0	-1.0	-1.0
Toxoplasma gondii str. ME49	1.0	1.0	1.0	1	1.0	1.0	-1.0	1.0	-1.0	-1.0	1.0	1.0	1.0	1.0
Toxoplasma gondii str. ME49	-1.0	1.0	-1.0	0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0
Toxoplasma gondii str. ME49	-1.0	-1.0	-1.0	-1	-1.0	-1.0	-1.0	-1.0	0.0	0.0	-1.0	-1.0	-1.0	-1.0
Toxoplasma gondii str. ME49	1.0	1.0	1.0	1	-1.0	-1.0	-1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0
Toxoplasma gondii str. ME49	1.0	1.0	1.0	-1	0.0	1.0	-1.0	1.0	-1.0	-1.0	1.0	-1.0	-1.0	-1.0
Toxoplasma gondii str. ME49	-1.0	-1.0	-1.0	-1	-1.0	-1.0	-1.0	1.0	0.0	0.0	-1.0	-1.0	-1.0	-1.0
Toxoplasma gondii str. ME49	1.0	1.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Toxoplasma gondii str. ME49	1.0	1.0	1.0	0	1.0	-1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Toxoplasma gondii str. ME49	-1.0	-1.0	-1.0	-1	1.0	1.0	1.0	1.0	0.0	0.0	-1.0	-1.0	-1.0	-1.0
Toxoplasma gondii str. ME49	1.0	-1.0	1.0	1	-1.0	-1.0	-1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Toxoplasma gondii str. ME49	1.0	1.0	-1.0	1	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0
Toxoplasma gondii str. ME49	-1.0	-1.0	-1.0	1	0.0	0.0	0.0	0.0	1.0	1.0	-1.0	1.0	1.0	1.0
Toxoplasma gondii str. ME49	1.0	1.0	1.0	1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Toxoplasma gondii str. ME49	1.0	1.0	1.0	1	1.0	1.0	1.0	1.0	-1.0	-1.0	1.0	1.0	1.0	1.0
Toxoplasma gondii str. ME49	-1.0	-1.0	-1.0	-1	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	-1.0	-1.0	-1.0
Toxoplasma gondii str. ME49	1.0	1.0	1.0	-1	1.0	1.0	1.0	-1.0	1.0	1.0	1.0	1.0	1.0	-1.0
Toxoplasma gondii str. ME49	1.0	1.0	1.0	1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Toxoplasma gondii str. ME49	1.0	1.0	1.0	1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Toxoplasma gondii str. ME49	-1.0	1.0	-1.0	1	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	1.0	1.0	1.0
Toxoplasma gondii str. ME49	-1.0	1.0	-1.0	-1	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	-1.0
Toxoplasma gondii str. ME49	1.0	1.0	-1.0	1	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0
Toxoplasma gondii str. ME49	1.0	1.0	1.0	-1	1.0	-1.0	1.0	1.0	1.0	1.0	1.0	-1.0	-1.0	-1.0
Toxoplasma gondii str. ME49	1.0	1.0	1.0	1	1.0	1.0	-1.0	1.0	-1.0	0.0	1.0	1.0	1.0	1.0
Toxoplasma gondii str. ME49	1.0	1.0	1.0	-1	1.0	1.0	1.0	-1.0	-1.0	-1.0	1.0	-1.0	-1.0	-1.0
Toxoplasma gondii str. ME49	-1.0	0.0	1.0	-1	1.0	-1.0	1.0	-1.0	0.0	0.0	1.0	1.0	1.0	-1.0
Toxoplasma gondii str. ME49	1.0	1.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0
Toxoplasma gondii str. ME49	1.0	1.0	1.0	0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	1.0	-1.0	-1.0	-1.0
Toxoplasma gondii str. ME49	-1.0	1.0	-1.0	1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Toxoplasma gondii str. ME49	-1.0	-1.0	-1.0	1	1.0	-1.0	-1.0	1.0	1.0	1.0	-1.0	1.0	1.0	1.0
Toxoplasma gondii str. ME49	1.0	1.0	1.0	1	-1.0	-1.0	-1.0	-1.0	0.0	0.0	1.0	1.0	1.0	1.0
Toxoplasma gondii str. ME49	-1.0	0.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0
Toxoplasma gondii str. ME49	1.0	1.0	1.0	0	1.0	-1.0	-1.0	1.0	-1.0	-1.0	1.0	-1.0	1.0	-1.0
Toxoplasma gondii str. ME49	-1.0	1.0	1.0	1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Toxoplasma gondii str. ME49	1.0	0.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0
Toxoplasma gondii str. ME49	-1.0	1.0	-1.0	1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Toxoplasma gondii str. ME49	1.0	1.0	1.0	1	-1.0	-1.0	-1.0	-1.0	0.0	0.0	1.0	-1.0	-1.0	1.0
Toxoplasma gondii str. ME49	-1.0	-1.0	-1.0	-1	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	-1.0	-1.0	-1.0
Toxoplasma gondii str. ME49	-1.0	1.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0
Toxoplasma gondii str. ME49	1.0	1.0	1.0	1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Toxoplasma gondii str. ME49	-1.0	-1.0	-1.0	1	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0
Toxoplasma gondii str. ME49	-1.0	-1.0	-1.0	-1	-1.0	-1.0	1.0	-1.0	1.0	0.0	-1.0	-1.0	-1.0	-1.0
Toxoplasma gondii str. ME49	-1.0	1.0	-1.0	1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Toxoplasma gondii str. ME49	-1.0	-1.0	-1.0	1	-1.0	-1.0	-1.0	1.0	1.0	1.0	-1.0	1.0	1.0	1.0
Toxoplasma gondii str. ME49	1.0	1.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Toxoplasma gondii str. ME49	-1.0	0.0	-1.0	0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0
Toxoplasma gondii str. ME49	1.0	1.0	1.0	1	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0
Toxoplasma gondii str. ME49	-1.0	-1.0	-1.0	1	1.0	-1.0	1.0	-1.0	0.0	0.0	-1.0	1.0	1.0	1.0
Toxoplasma gondii str. ME49	1.0	1.0	1.0	1	1.0	-1.0	1.0	1.0	-1.0	-1.0	1.0	1.0	1.0	-1.0
Toxoplasma gondii str. ME49	-1.0	1.0	-1.0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Toxoplasma gondii str. ME49	-1.0	-1.0	-1.0	1	1.0	-1.0	-1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Toxoplasma gondii str. ME49	1.0	1.0	1.0	1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Toxoplasma gondii str. ME49	1.0	1.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0
Toxoplasma gondii str. ME49	1.0	1.0	1.0	1	-1.0	1.0	1.0	1.0	1.0	-1.0	1.0	1.0	-1.0	1.0
Toxoplasma gondii str. ME49	1.0	1.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0
Toxoplasma gondii str. ME49	1.0	1.0	1.0	-1	0.0	0.0	0.0	0.0	0.0	0.0	1.0	-1.0	-1.0	-1.0
Toxoplasma gondii str. ME49	1.0	1.0	1.0	1	-1.0	-1.0	-1.0	-1.0	1.0	0.0	1.0	-1.0	-1.0	1.0
Toxoplasma gondii str. ME49	-1.0	1.0	-1.0	1	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0
Toxoplasma gondii str. ME49	-1.0	1.0	-1.0	1	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0
Toxoplasma gondii str. ME49	1.0	1.0	1.0	1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Toxoplasma gondii str. ME49	-1.0	-1.0	-1.0	1	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	1.0	1.0	1.0
Toxoplasma gondii str. ME49	1.0	1.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0
Toxoplasma gondii str. ME49	1.0	1.0	1.0	-1	1.0	1.0	1.0	-1.0	-1.0	0.0	1.0	-1.0	-1.0	-1.0
Toxoplasma gondii str. ME49	1.0	1.0	-1.0	-1	0.0	0.0	0.0	0.0	0.0	0.0	1.0	-1.0	-1.0	-1.0
Toxoplasma gondii str. ME49	-1.0	-1.0	-1.0	-1	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	-1.0	-1.0	-1.0
Toxoplasma gondii str. ME49	-1.0	-1.0	-1.0	-1	1.0	-1.0	-1.0	1.0	0.0	0.0	-1.0	-1.0	-1.0	-1.0
Toxoplasma gondii str. ME49	-1.0	1.0	-1.0	-1	-1.0	-1.0	-1.0	-1.0	0.0	0.0	-1.0	-1.0	-1.0	-1.0
Toxoplasma gondii str. ME49	1.0	1.0	1.0	1	0.0	-1.0	-1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0
Toxoplasma gondii str. ME49	1.0	1.0	1.0	1	0.0	-1.0	-1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0
Toxoplasma gondii str. ME49	1.0	1.0	1.0	1	0.0	-1.0	-1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0
Toxoplasma gondii str. ME49	1.0	1.0	1.0	1	0.0	-1.0	-1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0
Toxoplasma gondii str. ME49	-1.0	-1.0	1.0	-1	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	-1.0	-1.0	-1.0
Toxoplasma gondii str. ME49	1.0	1.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0
Toxoplasma gondii str. ME49	1.0	1.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0
Toxoplasma gondii str. ME49	1.0	1.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0
Toxoplasma gondii str. ME49	1.0	1.0	1.0	1	-1.0	1.0	-1.0	-1.0	1.0	0.0	1.0	1.0	1.0	1.0
Toxoplasma gondii str. ME49	-1.0	-1.0	1.0	1	-1.0	-1.0	-1.0	1.0	0.0	0.0	-1.0	1.0	1.0	1.0
Toxoplasma gondii str. ME49	1.0	1.0	1.0	1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Toxoplasma gondii str. ME49	-1.0	-1.0	-1.0	-1	1.0	1.0	-1.0	1.0	1.0	1.0	-1.0	1.0	1.0	1.0
Toxoplasma gondii str. ME49	1.0	1.0	1.0	1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Toxoplasma gondii str. ME49	1.0	1.0	1.0	-1	1.0	1.0	-1.0	1.0	-1.0	-1.0	1.0	1.0	1.0	-1.0
Toxoplasma gondii str. ME49	1.0	1.0	1.0	1	1.0	1.0	-1.0	-1.0	-1.0	0.0	1.0	1.0	1.0	1.0
Toxoplasma gondii str. ME49	-1.0	-1.0	-1.0	-1	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
Toxoplasma gondii str. ME49	-1.0	-1.0	-1.0	-1	-1.0	-1.0	-1.0	1.0	0.0	0.0	-1.0	-1.0	-1.0	-1.0
Toxoplasma gondii str. ME49	1.0	1.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Toxoplasma gondii str. ME49	1.0	1.0	-1.0	1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Toxoplasma gondii str. ME49	-1.0	-1.0	-1.0	-1	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	-1.0
Toxoplasma gondii str. ME49	1.0	1.0	1.0	1	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0
Toxoplasma gondii str. ME49	-1.0	1.0	-1.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
